responsetype,response,name,title,company,bank,doctype,filename
question,Got it. That's helpful. Thank you.,John Pancari,Analyst,Evercore Group LLC,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,Hi. Good morning.,Erika Najarian,Analyst,Bank of America Merrill Lynch,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Good morning, Erika. Good morning.","John M. Turner, Jr.","President, Chief Executive Officer & Director",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,Good morning.,"David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"Given your outlook for a continued low to mid-single digit loan growth , and clearly, you laid out a very specific path for net interest margin, is it too optimistic to think that net interest income could be flat next year?",Erika Najarian,Analyst,Bank of America Merrill Lynch,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Well, we don't want to give guidance yet on what next year is. We can still have things that we don't know about, what the rate environment look like. Clearly, that puts pressure on growing net interest income. When you think that – and we've talked a lot about being able to grow the balance sheet consistent with GDP, and then some, then a little. Now, we've also done a lot of capital recycling to make sure that we're getting good relationship business on the books. And so, you've seen some pressure on absolute loan growth there. But we expect to grow, and our teams have that expectation. So, we had that piece of it we feel good about. Let's just see what the rate environment gives us going into next year. Lower rates obviously put some pressure on us.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"Got it. And as I think about your earlier responses, clearly, the RoTCE range is potentially out of reach, given the interest rate outlook. But you did say, you're not giving up on 55%. And as we think about the context of revenue challenges and potentially on the – because of rate and fees potentially peaking this year, I guess, is there room for expenses on an absolute basis to actually be down to get to continued efficiency improvements?",Erika Najarian,Analyst,Bank of America Merrill Lynch,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Well, so our commitment has been and continues to be generating positive operating leverage in any environment. So, we are seeking to grow revenue faster than the expenses. So, where revenue continues to be challenged, we'll continue to work even harder on expense management. I feel that we can do that. So, I think that, clearly, revenue is going to be challenged, kind of back to the last part, last question is – revenue will be challenged because 65% of our revenue comes from spread. And we had higher rates in the first half of the year versus the back half. And so, on a comp 2019 to 2020, it will be very hard to grow revenue in that, at least NII. So, loan growth will help us there a bit, and we'll see what the rate environment is. But, we have good NIR, we have good investments that we've made, we expect that to continue to grow. And as we just talked through, our continuous improvement program by helping control expenses, we believe, will generate positive operating leverage and continue to work our efficiency ratio down at the same time.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"Yeah. And I just want to be clear, even in an environment that you mentioned where it's very hard to grow revenue, Regions is still committed to deliver positive operating leverage?",Erika Najarian,Analyst,Bank of America Merrill Lynch,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,That's correct.,"David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,Thank you. Thank you so much.,Erika Najarian,Analyst,Bank of America Merrill Lynch,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Good morning, Saul.","John M. Turner, Jr.","President, Chief Executive Officer & Director",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"Hey. Hi. Good morning, guys. A couple questions. First, more of a clarification. The 25% to 30% deposit beta in the fourth quarter, what's the denominator on that? Is that on two cuts, and hence, it's a 12 to 15-basis-point reduction in deposit costs? It's not – I'm just trying to make sure it's not on an average Fed Funds rate, because obviously, out of July and September cut, that's fully in the fourth quarter. I just want to make sure I understand the numerator and denominator there.",Saul Martinez,Analyst,UBS Securities LLC,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Yeah. So, it's based on two rate cuts that are baked in October and December right now.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"Okay. So, it would be a 12 to 15-basis-point reduction?",Saul Martinez,Analyst,UBS Securities LLC,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Round number, that's right.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"Okay. Got it. I guess, more important question on loan growth. I hear what you're saying that over the long run – or under normal conditions, you can grow your balance sheet in line with what – and hopefully then some. But if I look at your loan growth this quarter, period end, it was up, I think, 1% year-on-year. Going forward, you have indirect vehicles rolling off, tune maybe a few hundred a quarter. You have GreenSky as a headwind. Home equity, still a little bit of a headwind. Your CRE book isn't really growing. It's contracting, I think, on mortgage owner-occupied. I mean, I'm struggling with how you get loan growth and interest-earning asset growth next year. Can you just – hope we understand where you see the offset, where – I know you're not giving guidance for 2020, but how do I think about it conceptually, given you have pretty material headwinds in multiple loan lines?",Saul Martinez,Analyst,UBS Securities LLC,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"So, there's a lot of stories inside the loan book. Let's kind of start at the top. So, our big driver of loan growth has traditionally been our C&I book. Those can be lumpy from time to time. It depends on access to capital markets. It depends on line utilization, and you've seen some of that happening this year. I mean, it's – we had a lot of growth in the first quarter and no growth in the second and the third quarter. We feel good about our pipelines. We feel good about our conversations we're having with our clients. They are cautious. They're optimistic, but they're watching this uncertainty with regards to trade and tariffs. Clearly put some pressure and downward sentiment in terms of wanting to make the next dollar fixed capital investment. But that being said, we still think there's going to be some growth there. From an investor real estate standpoint, we've probably had the second lowest concentration of investor real estate of our peers. We have some opportunities there. We're being very careful in selecting these clients. And so from time to time, you'll see that move up, and then payoffs will move it back down. But I think investor real estate is an opportunity. Resi mortgage continues to be an opportunity. We had a little bit of growth this quarter. Production was up. About a third of that was refinance, and two-thirds of it was purchase. And we keep about almost half of what we produce. So I think that'll be a plus in our direct consumer. We think it's going to be a plus. We're making investments in unsecured. Even though GreenSky is running off, we have other avenues. I think John mentioned, we're going to cap unsecured, but we continue to see opportunities for a little bit of growth there. Now, home equity has been on quite a bit of decline over time, and we think that'll slow down a bit. So, I think that when you – and you had mentioned indirect vehicles being down, those are really the key drivers. Again, we're not looking for a lot of loan growth, but I think we'll have solid loan growth that'll be profitable for the company.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"The GreenSky is roughly $2 billion, I believe? And how quickly does it – what's the weighted average life of that?",Saul Martinez,Analyst,UBS Securities LLC,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Yeah. It's about $1.9 billion actually. And it has a little – right at two years in terms of duration. There'll be pieces of this that linger for a while, but the bulk of that is two years.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"And, Saul, it begins to run off. We've modestly increased our commitment to SoFi to grow that portfolio. And we are investing in our own unsecured lending capabilities. And we believe that we can match the timing of the runoff and the increase in SoFi with unsecured lending capabilities, all of which should help us on the consumer side in addition to growing mortgage, growing bank card and the growing direct lending.","John M. Turner, Jr.","President, Chief Executive Officer & Director",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,Got it. Thank you very much.,Saul Martinez,Analyst,UBS Securities LLC,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Morning, Gerard.","John M. Turner, Jr.","President, Chief Executive Officer & Director",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"Good morning. How are you, John?",Gerard Cassidy,Analyst,RBC Capital Markets LLC,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,Good. Thank you.,"John M. Turner, Jr.","President, Chief Executive Officer & Director",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"Can you guys share with us, we hear – and you guys already touched on your technology spend. I think you had mentioned $625 million is what is expected to be expense this year. How can we, as outsiders – we hear a lot of stories about the big banks taking market share from the smaller banks. How do you guys measure whether you're keeping – I know the dollars you're spending, but how do you measure whether you're keeping up from a digital, technological standpoint that you can remain competitive with the bigger banks? What are some of the metric should we outsiders look to, to determine whether you're keeping up with these bigger banks?",Gerard Cassidy,Analyst,RBC Capital Markets LLC,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Yeah. Just real quick on that, this is John Owen. Like I said earlier, we spend about $625 million. About 42% of that is based on new initiatives and new projects and looking forward into new things, which digital would be a big part of that. About 48% is around how do we maintain the bank, maintain systems and really our infrastructure going forward. About 10% is on cyber risk. The way we think about, are we keeping up and keeping pace, we use a few external factors. Number one would be J.D. Powers. J.D. Powers (sic) [J.D. Power. J.D. Power] ranks all the – top 23 banks are on their list, and they come out with a quarterly ranking. And they rank everything from how we perform in the branch, all the way through to our online banking and mobile banking. So, that's a data point we use consistently. We're in the top quartile for branch. And online/mobile moves between top quartile and second quartile. So, again, that's an area where we're trying to always keep that in the top quartile. The other source would be Gallup. Gallup also gives us good insights from our customers on how we're performing in digital and areas where we need to advance. And the other thing I would point to is just the rapid growth of our digital at the bank. Over the last three years, our digital logins to our online and mobile properties were up 90%. You heard John talk about earlier on digital sales. Our digital sales are up 90% year-over-year in credit card. Our digital sales and savings accounts were up 35%, and checking accounts about 24%. So, we kind of look at it from a couple of factors, how do our external parties validate what we're doing and also our internal growth rates.",John B. Owen,Chief Operating Officer & Senior Executive Vice President,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Yeah. I'll just add, Gerard. The other thing I look at is how we're growing consumer checking accounts. Are we growing low-cost deposits and who are our new customers. And roughly, half of our new customers are under the age of 30. And so, all of those things, for me, are indicators that we are, in fact, competing and having success, offering compelling technology to our customers.","John M. Turner, Jr.","President, Chief Executive Officer & Director",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"Very good. And David, you talked a bit about the CECL increase you mentioned, you guys put out the number in the second quarter Q. I think you said, $400 million to $600 million, which if you compare that to your existing level of reserves, it's over a 50% increase. Everybody appears to be able to handle, yourself included, the Day 1 impact that you just described. How can you frame out for us, if you can, what the Day 2 impacts are going to look like? Should we, as outsiders, assume that we're going to see loan loss provisions of similar increases to what the Day 1 impact was for everybody, or how are you guys looking at that at this stage?",Gerard Cassidy,Analyst,RBC Capital Markets LLC,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Yeah. I would not say that Day 2 would be anything remotely close to Day 1. Day 1 just kind of level sets. And we'll see what other peers are coming out and what their numbers are. Really, it's dependent on portfolios. Those with consumer or longer-dated loans are going to have higher CECL charges than those that are business services oriented that have shorter-term duration of their loan books. Day 2, you need to think about you still have charge-offs to come through. You have to provide CECL reserves and provisioning on loan growth. Those have the tendency to be somewhat higher than we have today under the incurred model, and again, very dependent on what type of loans you're growing. So, mix makes a big difference. So, if you're growing mortgages versus commercial real estate, mortgages are going to carry a higher provision than commercial real estate as odd as that sounds. And then, the last key factor is what's the economic outlook? How is that changing from time to time? And that's why we've put in our prepared comments. We've given you $400 million to $600 million, but it's really dependent on what it looks like December 31, last January 1. What do we think the forecast looks like going forward, that makes a big difference. And in Day 2, when that change occurs, things getting better or worse, you see, in particular, when they get worse or forecasted to get worse, you can see much bigger provisions then than you do on the incurred model and that's what the standard was supposed to do. It was trying to have you reserve much quicker, and that's why we've talked about procyclicality. The standard is as procyclical as you can get because in a down rate cycle, you're going to be reserving more for loan growth, which causes one to be concerned about the cost and availability of credit in a downturn.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,Very good. Thank you.,Gerard Cassidy,Analyst,RBC Capital Markets LLC,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,Thank you.,"David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Brian, good morning.","John M. Turner, Jr.","President, Chief Executive Officer & Director",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"Hi, everyone. I guess I actually had a couple of questions on your slide appendix. First of all, thank you for this level of detail on the commercial loan portfolio or some of the key areas you're highlighting. It is quite a lot. I guess, as I'd looked through slide 14 – really, maybe 15 through 17, because the energy you've talked about before, the restaurant, the retail, the manufacturing, transportation, how are you positioning this? Is this just being responsive to investor questions, or are these areas you're actively concerned? Are there any sub-portfolios where you're seeing opportunity to maybe take some market share? I guess how should I interpret all this detail why you're highlighting restaurant, retail, manufacturing, and transportation?",Brian D. Foran,Analyst,Autonomous Research US LP,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Brian, this is Barb Godin. On that note, we do have some concerns in the restaurant portfolio, that we're seeing some softening in the restaurant portfolio. There's certainly been some softening in the energy portfolio, a little bit in manufacturing. But by and large, we decided to be much more transparent, providing you with information on our portfolios, so that all of you have an opportunity to look and say, look, we see what's in their portfolio, we feel good about their portfolio, we feel good about our portfolios and our ability to manage it. And we just felt that now was the time to be, as I said, much more transparent, particularly as we go into what potentially looks like a credit cycle that'll happen in the next couple of years.",Barbara I. Godin,"Senior Executive Vice President, Deputy Chief Risk Officer and Chief Credit Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"And then, maybe in a similar vein on slide 12, I mean, I almost hate to ask this, but it's always a little bit of a lightning rod for investors, the leverage loan balances. Certainly, recognizing the $6 billion is much bigger number than the standard definition of what would produce $2.5 billion that you highlight in the slides. But I think when you first gave this, it was about $5.5 billion. So, why has it kind of crept up a little bit over the past six to nine months? Is that you participating more, or is that just some credits tripping into your leverage definition? Why has the number gotten a little bigger?",Brian D. Foran,Analyst,Autonomous Research US LP,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Yeah. We do have a number of credits, but again based on the way we define it, will become leveraged even though they started off as not leveraged. Additionally, we've got Ronnie Smith here who runs that portfolio, and I'm going to ask him to make a couple of comments on them.",Barbara I. Godin,"Senior Executive Vice President, Deputy Chief Risk Officer and Chief Credit Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Just a couple of comments. And one of your responses is exactly on target. We had a couple of really long-term relationships, publicly-traded companies that had positive credit events that pushed it over into our definition of leverage lending. And if you combine those two, it was just over $400 million. We feel good about those particular companies, and we'll see at least one of those resolved within a very short period of time. The other will resolve, given a little bit more intermediate period of time, but there's not really a focus on growing that portfolio other than continuing to support our existing relationships, where we can build broad and deep relationships outside of the lending transaction only.",Ronald G. Smith,Senior Executive Vice President & Head of Corporate Banking Group,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"I'd just add we actually have managed it as a concentration risk, like we do every other part of our portfolio.","John M. Turner, Jr.","President, Chief Executive Officer & Director",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"That's great, and thank you for all the detail.",Brian D. Foran,Analyst,Autonomous Research US LP,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,Thank you.,"John M. Turner, Jr.","President, Chief Executive Officer & Director",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Good morning, Christopher.","John M. Turner, Jr.","President, Chief Executive Officer & Director",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"Hey, good morning. Wanted to ask further on the credit explanation you just gave. Should we see a higher level of total criticized than we do now, or will that number kind of vary? I know you had the spec change driving a lot of this quarterly shifts.",Christopher Marinac,Analyst,Janney Montgomery Scott LLC,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Yeah. It's Barb again. In the criticized portfolio, in particular, classified, I think, is what you're pointing to, which drove that number up. Let me first start with saying, despite all that, our credit metrics for the quarter were within our broader risk expectation. We experienced improvement in several areas. As you know, delinquencies were down 4%, TDR was down 7%, NPL was down 13% and charge-offs were flat, so we feel good there. And as well, as you mentioned, David did our shared national credits were included. And just to comment on the shared national credits, we weren't agent on any of those credits, by the way. If I speak specifically to our classified loan category, I'm going to categorize what happened this quarter as follows, which is really over half of the increase came from five energy credits that moved into this category. But since quarter-end, one of these credits has been totally resolved, and the other three credits are to a large energy services customer that stays with us for well over 50 years. And they have the proven ability to perform through the cycle. So, for energy, in general, I'll make a comment that our book right now is only 13% oilfield services. And we also have gone through and stressed our price deck, on which we both lend as well as service our accounts down to $39.20, and that's against today's price. The last I looked this morning, it was about $54 a barrel, give or take. So, based on all of this, we've done a lot of work, we believe our energy losses will stay somewhere within a really manageable range of about $30 million to $50 million over the next three years. In addition to energy, we also had some asset-based loans that we moved to classified this quarter, with all of them currently being well within their asset values. So, as such, we anticipate minimal to no loss on those credits. And lastly, we also reviewed the top 80% of credits that moved to our classified category this quarter. And again, based on this, we're comfortable with both our loss range of 40 to 50 basis points for this year and 40 to 65 basis points over the next year based on a falling economy. So, I'd summarize by saying we don't see what happened this quarter as being a systemic issue. We are, however, coming off the period of historically low numbers. And as such, we believe that some increase was to be expected.",Barbara I. Godin,"Senior Executive Vice President, Deputy Chief Risk Officer and Chief Credit Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"I'll add, Barb, the 40 to 65 basis points loss rate was over the next three years.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,Three years. I'm sorry [indiscernible] (00:57:29).,Barbara I. Godin,"Senior Executive Vice President, Deputy Chief Risk Officer and Chief Credit Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"Okay. Great. That's helpful background. And again, with the inclusion of the additional categories, does that imply that restaurants and ABL and others had deterioration in the quarter, or again, you're just giving more transparency to those in general?",Christopher Marinac,Analyst,Janney Montgomery Scott LLC,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"There's some marginal deterioration, but we're really are just trying to get much more transparency.",Barbara I. Godin,"Senior Executive Vice President, Deputy Chief Risk Officer and Chief Credit Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"Okay. Great. Thank you, Barb. Appreciate it.",Christopher Marinac,Analyst,Janney Montgomery Scott LLC,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,Yes.,Barbara I. Godin,"Senior Executive Vice President, Deputy Chief Risk Officer and Chief Credit Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Morning, Stephen.","John M. Turner, Jr.","President, Chief Executive Officer & Director",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"Yeah. Good morning. Thanks. I just had a follow-up question, maybe to Betsy's earlier question around the RoTCE guidance, and kind of just maybe more specifically, why that would move down. I just remember from your Investor Day, you guys had a pretty – not negative, but maybe muted view on the economy, kind of where GDP was going to go. Fed Funds reverting to a zero-range policy and even a 10-year, I think, around 1.50%. So, granted a lot of what we're seeing today is kind of what you guys predicted, so I'm wondering what specifically is driving the change in expectations relative to what you said then?",Stephen Kendall Scouten,Analyst,Sandler O'Neill & Partners LP,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Yeah. I think, Stephen, our expectation in the 10-year was closer to 3% than the 1.50% at the time we gave that out. So, there are two things that drive returns, the numerator and denominator. And that denominator impact on lower rates is pretty tough. When you have a falling rate environment, clearly, the fair value of the investment portfolio, and therefore, book value increases. And that's the same thing in all the derivatives that we've added. The fair value of those have obviously increased, putting pressure on the denominator. So, that's more meaningful than you might think when you go through the calculation. From a net income standpoint, clearly, we had rate expectations and margin guidance that had been as high as 3.70% down to low-3.40%. That's where we are. And so, 18% to 21%, predicated on being at the low end of the range. So, I think if you look at our industry and you think of just good core commercial banking, a 20% return on capital can get you – you can get there when you have a rising rate environment margins are continuing to expand. We don't have that. We have low rates, a relatively flat yield curve, and at least the market's saying, no real expectations for rates to change over the next couple of years. So, it's really hammering out net income growth and return through making good investments to grow NIR and watching expenses, keeping your tabs on credit quality, and that's what we're doing. But it's – you can't get to those type of returns in this environment, if it persists.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
question,"Got it. Very helpful. Thanks, David.",Stephen Kendall Scouten,Analyst,Sandler O'Neill & Partners LP,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,Okay.,"David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
error,"John M. Turner, Jr. President, Chief Executive Officer & Director, Regions Financial Corp. Okay. Since we have no further questions, thank you all for your interest today. Appreciate it very much. Have a good day.",,,,regions,qr,../data/quarterly/earningsTran\regions_3Q19.pdf
answer,"Good morning, Matt.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_4Q17.pdf
question,"Good morning. You mentioned later this year that you would quantify some of the initiatives that you have underway. And, I guess, first, is there going to be both a revenue and expense component as we think about some of these efforts?",Matthew Derek O'Connor,Analyst,"Deutsche Bank Securities, Inc.",regions,qr,../data/quarterly/earningsTran\regions_4Q17.pdf
answer,"Yeah, I mean, Matt, we've been working for a number of months now on this initiative and it does have both the expense and revenue components. But John Owen is with us today and John is leading that initiative. So, I'll ask John to make a few comments.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_4Q17.pdf
answer,"Good morning. Just a little bit of background. Simplify and Grow, as you think about it as a multi-year strategy for the bank, we kicked off the planning process in the fourth quarter working with McKenzie. We wrapped that planning process up in early January. I would tell you, we've now moved on to what I'll call the execution phase of the project now. There'll be three areas of focus. First is, how do we make banking easier for our customers; second will be, how do we accelerate revenue growth; and third will be about improving efficiency and effectiveness. But timing standpoint, I would tell you, many of these initiatives will go in, in second quarter and third quarter, some will span into 2019 as well. But it's very early. We've got about 10 work streams kicked off very early in the process still.",John B. Owen,Senior Executive Vice President & Head-Regional Banking Group,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_4Q17.pdf
answer,"And David, from how we'll respond to this publicly, you could speak to that for a moment?","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_4Q17.pdf
answer,"Sure. Matt, so this Simplify and Grow, as you heard from John Owen, there is a number of initiatives and how it will affect our financial statements, both from revenue and expense standpoint. We have elements, Matt. We've given you our guidance for the year thus far and we'll be going to a number of conferences. And as we get clarity on exactly what this will do and how it will impact our numbers and ratios, we'll update you. I suspect it will be first quarter, second quarter – end of the first quarter, maybe second quarter, before we give you any specificity of what that will look like.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_4Q17.pdf
question,Okay. That's helpful color. Thank you.,Matthew Derek O'Connor,Analyst,"Deutsche Bank Securities, Inc.",regions,qr,../data/quarterly/earningsTran\regions_4Q17.pdf
answer,"Good morning, John.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_4Q17.pdf
question,"Good morning. Regarding the investment program, I know you're going to give us a little bit more details later on, but in general, how are you thinking about the ultimate tax reform benefit and how much of that gets deployed into the program? And accordingly, how much eventually fall through the bottom line? Thanks.",John Pancari,Analyst,Evercore Group LLC,regions,qr,../data/quarterly/earningsTran\regions_4Q17.pdf
answer,"Yeah, John, so, it's David. We wanted to give you some flavor for that. If you look at our expectation for return on tangible common equity, we've moved that up 200 basis points from 12% to 14% to 14% to 16%. We anticipated some tax reform coming. We believe that it was appropriate at the time to increase our capital expenditures to accelerate some opportunities, we think we have to better serve our customer. Those capital expenditures, they don't find their way into the income statement. They'll find themselves in an income statement over time. So, we have that baked into our guidance already. And we had our other initiatives where we made contributions to our foundation and our $15 for minimum wage, because we think it was important for us to continue to execute on our mission of shared values, which is taking care of customers and associates and communities, as well as our shareholders.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_4Q17.pdf
question,"Okay, So, no percentage reinvestment amount that you're willing to give?",John Pancari,Analyst,Evercore Group LLC,regions,qr,../data/quarterly/earningsTran\regions_4Q17.pdf
answer,"No. We – our – we increased our capital expenditures roughly [ph] in (00:29:06) $100 million. Right now, you can see that we're keeping our targets for Common Equity Tier 1 where they are. Therefore, the benefit that we see coming through from taxes will help increase our return on tangible common, that 200 basis points.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_4Q17.pdf
question,"Got it. Okay. I was just getting there, if there is anything else beyond the CapEx amount. Okay. And the separately, in terms of capital deployment, I just want to hop to that. Wanted to get your updated thoughts around interest in M&A, as you're looking at opportunities here. Can you remind us of your deployment priorities? How you're thinking about that right now and where does M&A come into play both non-bank and bank? Thanks.",John Pancari,Analyst,Evercore Group LLC,regions,qr,../data/quarterly/earningsTran\regions_4Q17.pdf
answer,"Yeah. So, our priorities really haven't changed, John. We focus first and foremost on organic growth. It's important for us to take the capital we generate, put it back into the growth and the business appropriately. When we have opportunities to get an appropriate risk adjusted return from that organic growth, we've been very disciplined with regards to not just making any loan but making the loans that give our shareholders the appropriate risk-adjusted return. We will continue doing that. Second, we wanted to make sure we have a fair dividend to our shareholders. We had talked about being in the range of earnings of 30% to 40%, and that we would be increasing that to 35% to 45% over time. We believe that's important. So as income increases, whether it'd be through tax savings or otherwise, you should expect that to find its way into that dividend calculation. Then, we said we would look at opportunities to expand through non-bank acquisitions. We've had a number of those, [indiscernible] (00:31:00) business; First Sterling, our low-income housing tax credit syndicator business, which was basically on ice this year, but we're looking forward to that expansion this year with tax reform. So, that's been important. Bank M&A, given the fact that we have excess capital, we really have to look at banks versus share buybacks, and we believe that the share buyback program that we've had going on will continue and that we will continue to work our capital ratios down to that Common Equity Tier 1 level of roughly 9.5%. As credit quality and de-risking continues, perhaps that number changes, perhaps could maybe go lower. If we tag on more risk, the number will go higher. But right now, our goal is to get back to 9.5%","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_4Q17.pdf
answer,"John, I think that it's a great question, and if we look at how income state was generating more capital, how do we deploy that capital most constructively and most productively, and as David said, our first and foremost is organic, is making sure that we can – if we can put that capital back into our business constructively and productively, we'll do that. If we can't do that, obviously, we look at M&A and our primary focus has been bolt-on non-bank M&A. We continue to look at that. Secondarily, we look at bank M&A, but we've had the economics of that make it particularly challenging at this point in time. We look at it. But our primary focus after we've gotten through the organic is – and the bolt-on acquisitions is, really to look at how do we give it back in the form of dividend and share repurchases. We want a competitive dividend, and we want share repurchases, as a lever to use when we can't deploy that capital in the other way, and we still – knowing what we know today, we still think that's going to be a productive and constructive use of the capital we're generating.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_4Q17.pdf
